team,Avg Points Per Game,Avg Poss Per Game
Southern-New Orleans Knights,62.33,82.07
Southwestern Adventist Knights,52.5,83.63
Spalding Pelicans,63.0,73.96
St. Andrews Knights,49.0,80.52
St. Bonaventure Bonnies,73.88,68.44
St. Francis (IL) Fighting Saints,56.0,57.88
St. Francis (PA) Red Flash,65.28,68.51
St. John's Red Storm,78.5,70.77
St. Mary's (MD) Seahawks,43.0,67.77
St. Thomas-Minnesota Tommies,73.53,65.28
Stanford Cardinal,76.81,73.08
Stanislaus State Warriors,28.0,72.52
Stephen F. Austin Lumberjacks,74.53,74.5
Stetson Hatters,77.0,68.57
Stonehill Skyhawks,63.33,70.64
Stony Brook Seawolves,73.35,69.72
Syracuse Orange,76.68,73.2
TCU Horned Frogs,80.31,73.11
Tarleton State Texans,73.19,69.76
Temple Owls,70.91,70.3
Tennessee State Tigers,73.16,71.72
Tennessee Tech Golden Eagles,68.2,69.14
Tennessee Volunteers,80.23,71.84
Texas A&M Aggies,74.33,68.66
Texas A&M-Corpus Christi Islanders,75.61,72.82
Texas Longhorns,76.61,69.4
Texas Southern Tigers,70.29,71.38
Texas State Bobcats,69.91,70.21
Texas Tech Red Raiders,76.09,68.62
The Citadel Bulldogs,70.45,68.21
Thomas (ME) Terriers,48.0,70.14
Toccoa Falls Eagles,55.33,79.54
Toledo Rockets,80.68,71.95
Towson Tigers,67.88,64.95
Trinity (FL) Tigers,46.0,89.1
Trinity Baptist Eagles,57.0,81.94
Troy Trojans,79.94,73.93
Tulane Green Wave,82.3,76.26
Tulsa Golden Hurricane,74.87,73.58
UAB Blazers,77.61,71.1
UAlbany Great Danes,78.87,76.4
UC Davis Aggies,71.28,69.55
UC Irvine Anteaters,77.66,71.35
UC Merced Bobcats,69.0,63.98
UC Riverside Highlanders,70.82,68.92
UC San Diego Tritons,76.23,68.57
UC Santa Barbara Gauchos,75.1,70.73
UCF Knights,71.48,70.87
UCLA Bruins,65.97,66.19
UConn Huskies,81.73,67.16
UIC Flames,71.0,71.08
UL Monroe Warhawks,69.83,71.0
UMBC Retrievers,78.32,75.66
UMass Lowell River Hawks,80.65,74.93
UNC Asheville Bulldogs,79.48,72.66
UNC Greensboro Spartans,76.13,68.28
UNC Wilmington Seahawks,80.17,69.11
UNLV Rebels,70.94,65.55
UNT Dallas Trailblazers,59.5,73.96
USC Trojans,74.91,71.96
UT Arlington Mavericks,76.97,73.12
UT Martin Skyhawks,81.65,76.48
UT Rio Grande Valley Vaqueros,70.73,75.95
UTEP Miners,72.7,72.76
UTSA Roadrunners,78.13,73.86
University of Health Sciences & Pharmacy Eutectics,46.0,81.24
University of Saint Katherine Saint Katherine,44.0,68.31
Utah State Aggies,80.09,71.45
Utah Tech Trailblazers,70.77,73.89
Utah Utes,78.69,72.53
Utah Valley Wolverines,68.9,71.17
VCU Rams,72.12,67.96
VMI Keydets,68.97,75.98
Valparaiso Beacons,67.81,69.82
Vanderbilt Commodores,67.35,68.67
Vanguard Lions,55.0,79.82
